Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
4999,Sponsor,ServerName,2020-10-20T19:19:48.794276Z,distance,38.118,227448769.655457,5987359.50759658,,ipaddr
4999,Sponsor,ServerName,2020-10-20T19:22:26.793230Z,distance,35.808,224765413.206543,6109398.96641199,,ipaddr
4999,Sponsor,ServerName,2020-10-20T20:00:03.393048Z,distance,38.936,209722646.532195,5960368.69181329,,ipaddr
18648,Sponsor,ServerName,2020-10-20T21:00:02.529251Z,distance,42.971,172126976.193982,5980890.35157281,,ipaddr
4999,Sponsor,ServerName,2020-10-20T22:00:02.758132Z,distance,37.719,231059346.650896,5897372.51242815,,ipaddr
4999,Sponsor,ServerName,2020-10-20T23:00:02.483932Z,distance,38.777,230297796.578004,6159644.20307105,,ipaddr
18648,Sponsor,ServerName,2020-10-21T00:00:03.027469Z,distance,38.056,166753103.299699,6013182.82217724,,ipaddr
4999,Sponsor,ServerName,2020-10-21T01:00:02.745855Z,distance,38.616,230491103.846751,6343790.5997578,,ipaddr
18648,Sponsor,ServerName,2020-10-21T02:00:05.291184Z,distance,36.933,195137238.36441,6236273.11349533,,ipaddr
18648,Sponsor,ServerName,2020-10-21T03:00:02.493188Z,distance,37.582,201166816.015086,6107814.04118722,,ipaddr
3723,Sponsor,ServerName,2020-10-21T04:00:03.054250Z,distance,45.518,222945441.9013,6219629.97251119,,ipaddr
4999,Sponsor,ServerName,2020-10-21T05:00:02.589606Z,distance,46.393,213991263.729243,6078634.66732883,,ipaddr
4999,Sponsor,ServerName,2020-10-21T06:00:02.220400Z,distance,39.091,222827186.902909,5889901.99743101,,ipaddr
4999,Sponsor,ServerName,2020-10-21T07:00:03.671391Z,distance,40.684,227056477.080671,6179281.71713129,,ipaddr
4999,Sponsor,ServerName,2020-10-21T08:00:02.082084Z,distance,44.376,230789762.162064,5900701.99219519,,ipaddr
4999,Sponsor,ServerName,2020-10-21T09:00:02.205594Z,distance,46.524,231395965.683688,6098734.46263422,,ipaddr
4999,Sponsor,ServerName,2020-10-21T10:00:02.500464Z,distance,42.581,230383747.64372,6178617.4607358,,ipaddr
4999,Sponsor,ServerName,2020-10-21T11:00:04.052918Z,distance,42.48,232223349.032375,6273600.25411913,,ipaddr
4999,Sponsor,ServerName,2020-10-21T12:00:02.873241Z,distance,44.307,227799693.375021,5868862.19860166,,ipaddr
18648,Sponsor,ServerName,2020-10-21T13:00:01.808961Z,distance,37.122,206212531.60151,6130057.69088902,,ipaddr
4999,Sponsor,ServerName,2020-10-21T14:00:02.490904Z,distance,42.842,229633887.035925,6285501.92493824,,ipaddr
4999,Sponsor,ServerName,2020-10-21T15:00:03.009625Z,distance,45.26,226043331.873245,5988419.10006326,,ipaddr
18648,Sponsor,ServerName,2020-10-21T16:00:01.877539Z,distance,38.223,216484222.726763,5959179.67839116,,ipaddr
4999,Sponsor,ServerName,2020-10-21T17:00:03.097210Z,distance,38.547,163054309.867175,5914874.87193099,,ipaddr
18648,Sponsor,ServerName,2020-10-21T18:00:03.126335Z,distance,39.084,203049155.48285,5916882.80154768,,ipaddr
4999,Sponsor,ServerName,2020-10-21T19:00:02.315680Z,distance,36.084,230162268.421686,5879192.14276552,,ipaddr
4999,Sponsor,ServerName,2020-10-21T20:00:02.904812Z,distance,37.899,228166984.675124,5918602.07199857,,ipaddr
3673,Sponsor,ServerName,2020-10-21T21:00:02.757758Z,distance,38.238,214144158.390572,5904699.97587156,,ipaddr
3723,Sponsor,ServerName,2020-10-21T22:00:03.048963Z,distance,46.934,196714246.765144,5885751.7842315,,ipaddr
4999,Sponsor,ServerName,2020-10-21T23:00:02.273915Z,distance,38.279,229906726.235787,6026562.46896139,,ipaddr
18648,Sponsor,ServerName,2020-10-22T00:00:02.185584Z,distance,38.628,154009836.095077,5926872.97431296,,ipaddr
18648,Sponsor,ServerName,2020-10-22T01:00:02.682472Z,distance,39.607,133300251.716811,6002153.68025164,,ipaddr
3673,Sponsor,ServerName,2020-10-22T02:00:02.256607Z,distance,44.151,208037569.177306,5914509.82771247,,ipaddr
18648,Sponsor,ServerName,2020-10-22T03:00:02.263018Z,distance,36.897,195971354.847694,6297010.42241156,,ipaddr
18648,Sponsor,ServerName,2020-10-22T04:00:03.330791Z,distance,36.462,206849604.855743,6139632.09617087,,ipaddr
4999,Sponsor,ServerName,2020-10-22T05:00:02.671178Z,distance,41.04,200241020.079381,6027553.49231419,,ipaddr
4999,Sponsor,ServerName,2020-10-22T06:00:03.344632Z,distance,38.183,224298677.085257,5915378.24536413,,ipaddr
18648,Sponsor,ServerName,2020-10-22T07:00:01.965544Z,distance,37.561,201878413.083222,5938791.1998788,,ipaddr
4999,Sponsor,ServerName,2020-10-22T08:00:02.920907Z,distance,42.156,227119272.822015,5940292.84563115,,ipaddr
18648,Sponsor,ServerName,2020-10-22T09:00:02.205281Z,distance,36.033,207808975.554007,5882139.7062976,,ipaddr
18648,Sponsor,ServerName,2020-10-22T10:00:03.153553Z,distance,36.846,177628560.001527,6053669.14254286,,ipaddr
4999,Sponsor,ServerName,2020-10-22T11:00:02.516532Z,distance,43.602,226938623.954986,6015375.32318115,,ipaddr
4999,Sponsor,ServerName,2020-10-22T12:00:02.310611Z,distance,51.284,230239994.612291,3337947.18136117,,ipaddr
22454,Sponsor,ServerName,2020-10-22T13:00:02.175903Z,distance,38.88,224185239.057521,3082726.92963149,,ipaddr
4999,Sponsor,ServerName,2020-10-22T14:00:01.927655Z,distance,36.119,219452804.859722,5999273.33053358,,ipaddr
4999,Sponsor,ServerName,2020-10-22T15:00:02.435328Z,distance,35.247,214841620.004301,6056649.29354233,,ipaddr
18648,Sponsor,ServerName,2020-10-22T16:00:03.679200Z,distance,37.6,199422026.767618,6060894.07221274,,ipaddr
10136,Sponsor,ServerName,2020-10-22T17:00:02.007860Z,distance,35.098,208082147.723962,6228718.07896935,,ipaddr
